Fecha,Tmean_Promedio,Tmean_Desviacion,Tmean_Maximo,Tmean_Minimo
2000-01-01,18.287063492063492,1.4871695448831708,20.55666666666667,15.133333333333335
2000-01-02,18.743068783068786,1.5255905037196624,21.353333333333335,15.498333333333335
2000-01-03,20.008227513227514,1.4449198507341132,22.220000000000002,16.748333333333335
2000-01-04,20.48558201058201,1.5736105306526107,23.098333333333336,16.861666666666668
2000-01-05,18.145820105820107,1.5434897949709714,20.96166666666667,15.251666666666667
2000-01-06,17.424682539682543,1.3366174454627036,19.98166666666667,15.096666666666668
2000-01-07,16.92026455026455,1.2456553139025748,19.506666666666668,14.675
2000-01-08,17.062248677248675,1.3389205080482367,19.398333333333333,14.71
2000-01-09,18.30253968253968,1.385787898733839,20.653333333333336,15.865
2000-01-10,19.24515873015873,1.3926641615508852,21.428333333333335,16.513333333333335
2000-01-11,19.458280423280428,1.434554910979356,21.956666666666667,16.655
2000-01-12,17.216296296296296,1.1993337526007413,19.868333333333336,15.110000000000001
2000-01-13,17.344603174603176,1.2937711551759186,19.673333333333336,14.911666666666667
2000-01-14,16.23751322751323,1.2224559254565948,18.46666666666667,13.848333333333334
2000-01-15,14.93653439153439,1.1826954201864897,17.086666666666666,12.58
2000-01-16,16.140343915343916,1.0953092690878452,18.155,14.048333333333334
2000-01-17,18.217063492063495,1.2195813718650148,20.276666666666667,15.883333333333335
2000-01-18,19.7984126984127,1.4553407520094948,22.265,17.041666666666668
2000-01-19,21.20978835978836,1.3635179721305692,23.375,18.496666666666666
2000-01-20,20.006878306878306,1.3852022019884338,22.235000000000003,17.325000000000003
2000-01-21,17.961322751322754,1.287746488750163,20.108333333333334,15.686666666666667
2000-01-22,18.017486772486773,1.0973787058602305,19.776666666666667,15.895000000000001
2000-01-23,17.590634920634923,1.0578604504745683,19.39,15.605
2000-01-24,19.256349206349206,1.2590015870604416,21.233333333333334,16.888333333333335
2000-01-25,20.593306878306883,1.355794068662109,22.73,18.0
2000-01-26,21.138862433862435,1.2786918685343258,22.94666666666667,18.008333333333333
2000-01-27,20.84756613756614,1.4209207160330672,23.316666666666666,17.87666666666667
2000-01-28,18.304814814814815,1.1674785199112843,20.618333333333336,16.165000000000003
2000-01-29,16.723994708994713,1.0314108477385118,18.663333333333334,14.88
2000-01-30,17.12362433862434,1.192778962142326,19.343333333333334,14.898333333333333
2000-01-31,17.130079365079368,1.2331375659218968,19.475,14.746666666666668
2000-02-01,15.948148148148148,0.9702645646908925,17.843333333333334,14.001666666666667
2000-02-02,18.62925925925926,1.212205228001933,20.936666666666667,16.295
2000-02-03,17.930132275132276,1.0927891882776464,20.00166666666667,15.883333333333335
2000-02-04,16.342089947089953,1.0667936832549325,18.278333333333336,14.316666666666668
2000-02-05,15.187328042328044,0.8818202344570754,17.268333333333334,13.685
2000-02-06,17.506402116402118,1.0264813018237386,19.21,15.761666666666668
2000-02-07,17.26957671957672,1.0735649939069012,19.046666666666667,15.213333333333335
2000-02-08,16.007037037037037,0.8962888626216725,17.675,14.388333333333334
2000-02-09,16.74568783068783,0.6807221134001846,17.621666666666666,15.035
2000-02-10,17.221084656084656,0.8732919917680785,18.498333333333335,15.415000000000001
2000-02-11,15.554867724867725,0.46708827341994846,16.371666666666666,14.636666666666668
2000-02-12,16.08267195767196,0.926793106390598,17.64,14.483333333333334
2000-02-13,16.69814814814815,0.9346649661046539,18.23,15.053333333333335
2000-02-14,18.721851851851852,0.9629033253816097,20.25,16.91166666666667
2000-02-15,16.71708994708995,0.9625975737094317,18.698333333333334,14.453333333333335
2000-02-16,16.59777777777778,1.001914305283778,18.403333333333336,14.645000000000001
2000-02-17,17.343492063492064,0.9314247167771702,18.998333333333335,15.46
2000-02-18,18.527037037037037,1.003300788923773,20.02166666666667,16.240000000000002
2000-02-19,19.450343915343918,1.1670169979950429,21.14166666666667,16.14666666666667
2000-02-20,20.178333333333335,1.2308639299733124,22.041666666666668,17.368333333333336
2000-02-21,19.948042328042327,1.155510856113582,21.873333333333335,16.826666666666668
2000-02-22,18.796746031746036,1.1245685995738064,20.42,15.780000000000001
2000-02-23,19.184603174603176,1.175189005560649,21.053333333333335,16.951666666666668
2000-02-24,18.788994708994714,1.1163863874616042,20.863333333333333,16.740000000000002
2000-02-25,17.178968253968254,1.0209896135021719,19.135,15.266666666666667
2000-02-26,12.786746031746032,0.7241754070363137,14.321666666666667,11.496666666666668
2000-02-27,13.551931216931218,0.7417019019243999,14.763333333333334,12.273333333333333
2000-02-28,15.20457671957672,0.7544185520636942,16.725,13.91
2000-02-29,15.644629629629632,0.6808974809621775,16.761666666666667,14.500000000000002
2000-03-01,16.133941798941798,0.841014562280068,17.580000000000002,14.678333333333335
2000-03-02,15.810370370370372,0.990185232187756,17.566666666666666,13.953333333333335
2000-03-03,16.51846560846561,0.8074691721575326,17.803333333333335,15.14
2000-03-04,17.046428571428574,0.8045334433548692,18.246666666666666,15.421666666666667
2000-03-05,17.531640211640212,0.8475123620842765,18.965,16.115000000000002
2000-03-06,17.737645502645506,0.9825834121384199,19.193333333333335,15.426666666666668
2000-03-07,17.103174603174605,0.8749962315003613,18.781666666666666,15.06
2000-03-08,16.874444444444443,1.0000545840482096,18.80666666666667,14.435
2000-03-09,14.36862433862434,0.7638779242897096,15.870000000000001,12.836666666666668
2000-03-10,15.895767195767197,0.9713176665202032,17.645,14.028333333333334
2000-03-11,15.281931216931218,0.808808549906073,17.098333333333333,13.860000000000001
2000-03-12,14.096375661375662,0.614528506813387,15.313333333333334,12.89
