Fecha,Tmax_Promedio,Tmax_Desviacion,Tmax_Maximo,Tmax_Minimo
2000-01-01,27.176216931216935,2.685991407623959,31.59166666666667,21.53
2000-01-02,27.74978835978836,2.713320633786946,32.21333333333334,21.985000000000003
2000-01-03,26.658650793650796,2.2543975613958187,30.188333333333336,21.686666666666667
2000-01-04,28.7065873015873,2.4469711585639993,32.79166666666667,23.291666666666668
2000-01-05,25.929708994708996,2.406544877755089,30.068333333333335,20.691666666666666
2000-01-06,25.805264550264553,2.3734781108557903,29.97666666666667,20.80666666666667
2000-01-07,24.367328042328047,2.281052573099061,28.595000000000002,19.705000000000002
2000-01-08,25.63283068783069,2.244722256791271,29.471666666666668,20.793333333333333
2000-01-09,27.07267195767196,2.329610532423014,30.863333333333337,21.860000000000003
2000-01-10,27.6960582010582,2.3993075188072237,31.491666666666667,22.335
2000-01-11,28.067433862433866,2.5336271729024302,32.230000000000004,22.53666666666667
2000-01-12,25.566269841269843,2.341714477553029,29.791666666666668,20.828333333333333
2000-01-13,26.814285714285717,2.4066444017328443,30.758333333333336,21.618333333333336
2000-01-14,25.506851851851856,2.343391118058773,29.278333333333336,20.55166666666667
2000-01-15,23.164417989417995,2.1222373297627763,26.83666666666667,18.785
2000-01-16,25.14293650793651,2.1555272808300576,28.741666666666667,20.543333333333333
2000-01-17,28.150608465608464,2.3518574651315878,31.923333333333336,22.965
2000-01-18,28.45002645502646,2.510274468928257,32.71333333333334,23.09166666666667
2000-01-19,29.740740740740744,2.338183145376082,33.405,24.39
2000-01-20,27.310661375661375,2.2505397851375557,31.118333333333336,22.270000000000003
2000-01-21,25.517962962962965,1.8419128841240924,28.401666666666667,21.148333333333333
2000-01-22,26.120264550264555,2.117476227434947,29.60166666666667,21.291666666666668
2000-01-23,25.80531746031746,1.8110539930895528,28.60666666666667,21.493333333333336
2000-01-24,28.47703703703704,2.3893650585684845,32.265,23.053333333333335
2000-01-25,29.25669312169312,2.326720836152957,32.79666666666667,23.826666666666668
2000-01-26,30.826243386243394,2.464676051640168,34.335,25.12666666666667
2000-01-27,28.600925925925928,2.530321182981651,32.755,23.123333333333335
2000-01-28,25.298015873015874,2.1711864103110714,29.373333333333335,20.835
2000-01-29,24.999629629629634,2.25300067291112,28.995,20.333333333333336
2000-01-30,25.030714285714286,2.1995308284853143,28.878333333333334,20.298333333333336
2000-01-31,26.18156084656085,2.3924321429179574,30.49666666666667,21.0
2000-02-01,22.495846560846562,1.9440496395791402,26.135,18.578333333333333
2000-02-02,24.792301587301587,1.8795018015207856,28.188333333333336,20.94666666666667
2000-02-03,27.242751322751324,2.4307883364036367,31.39166666666667,22.165000000000003
2000-02-04,23.445555555555558,2.1305306283593826,27.328333333333337,19.138333333333335
2000-02-05,20.85238095238096,1.4455955643440863,23.91,18.121666666666666
2000-02-06,26.008439153439156,2.1067326958922523,29.62166666666667,21.611666666666668
2000-02-07,26.232486772486777,2.2738042164848755,30.05166666666667,21.503333333333334
2000-02-08,21.25378306878307,1.5448966508914297,24.123333333333335,18.101666666666667
2000-02-09,23.592433862433865,1.5631736593753105,26.01666666666667,19.998333333333335
2000-02-10,22.004761904761903,1.6944426192325028,25.255000000000003,18.598333333333336
2000-02-11,17.37335978835979,0.6096993427434168,18.37,15.688333333333334
2000-02-12,22.26113756613757,1.5194636348690005,24.768333333333334,19.081666666666667
2000-02-13,25.020211640211638,1.77424503884157,27.923333333333336,21.088333333333335
2000-02-14,27.74772486772487,2.2398577662858687,31.285000000000004,22.866666666666667
2000-02-15,24.05962962962963,2.2090084212101737,28.235000000000003,19.878333333333334
2000-02-16,25.431851851851853,1.9766281684534732,28.62,21.178333333333335
2000-02-17,24.5110582010582,1.7980211124385874,27.56666666666667,20.78
2000-02-18,27.261746031746032,1.8233490135172923,29.885,23.19666666666667
2000-02-19,29.31283068783069,2.489504328580535,32.985,23.823333333333334
2000-02-20,29.099391534391536,2.537699354930168,32.80666666666667,23.943333333333335
2000-02-21,29.870238095238097,2.491085585605155,33.46666666666667,24.55166666666667
2000-02-22,27.456798941798944,2.1427967043537652,30.666666666666668,22.785
2000-02-23,28.05645502645503,2.2433444281442876,31.660000000000004,23.28
2000-02-24,27.136005291005297,2.1198171683266698,30.573333333333334,22.58666666666667
2000-02-25,24.430238095238096,2.0621163607104234,28.01666666666667,20.163333333333334
2000-02-26,18.411693121693123,1.57033659127021,21.993333333333336,15.596666666666668
2000-02-27,18.78949735449736,1.2019152717807269,21.095000000000002,16.438333333333336
2000-02-28,22.589074074074073,1.404127412284047,25.045,19.583333333333336
2000-02-29,23.423862433862435,1.6410213682299737,26.088333333333335,19.858333333333334
2000-03-01,24.518015873015877,1.9404746291420991,27.878333333333334,20.285
2000-03-02,23.87941798941799,1.8957104683421995,27.108333333333334,19.776666666666667
2000-03-03,25.951216931216933,1.5334889271858203,28.378333333333334,22.240000000000002
2000-03-04,26.360105820105822,1.8952509309046324,29.23166666666667,21.89166666666667
2000-03-05,27.31825396825397,1.8881318377525163,30.12666666666667,22.853333333333335
2000-03-06,27.212037037037042,2.281265920810226,30.883333333333336,22.17
2000-03-07,27.741296296296298,2.3469802062598117,31.590000000000003,22.678333333333335
2000-03-08,26.65978835978836,2.4540612147027314,30.673333333333336,21.468333333333334
2000-03-09,21.39695767195767,1.7670535051093093,24.75,17.945
2000-03-10,25.743439153439155,2.260486514742951,29.580000000000002,20.92666666666667
2000-03-11,23.39166666666667,1.8273049516277755,26.651666666666667,19.455000000000002
2000-03-12,21.07761904761905,1.5395482718415523,23.828333333333333,17.768333333333334
