Fecha,Precipitacion_Total,Precipitacion_Promedio,Precipitacion_Desviacion,Precipitacion_Maximo,Precipitacion_Minimo
2000-01-01,0.0,0.0,0.0,0.0,0.0
2000-01-02,0.0,0.0,0.0,0.0,0.0
2000-01-03,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.0,0.0,0.0,0.0,0.0
2000-01-05,0.0,0.0,0.0,0.0,0.0
2000-01-06,0.0,0.0,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0,0.0
2000-01-08,0.0,0.0,0.0,0.0,0.0
2000-01-09,0.0,0.0,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0
2000-01-12,0.0,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0,0.0,0.0
2000-01-15,0.0,0.0,0.0,0.0,0.0
2000-01-16,0.0,0.0,0.0,0.0,0.0
2000-01-17,0.0,0.0,0.0,0.0,0.0
2000-01-18,0.0,0.0,0.0,0.0,0.0
2000-01-19,0.0,0.0,0.0,0.0,0.0
2000-01-20,0.0,0.0,0.0,0.0,0.0
2000-01-21,0.0,0.0,0.0,0.0,0.0
2000-01-22,0.0,0.0,0.0,0.0,0.0
2000-01-23,0.0,0.0,0.0,0.0,0.0
2000-01-24,0.0,0.0,0.0,0.0,0.0
2000-01-25,0.0,0.0,0.0,0.0,0.0
2000-01-26,0.0,0.0,0.0,0.0,0.0
2000-01-27,0.0,0.0,0.0,0.0,0.0
2000-01-28,16.339999999999975,0.25936507936507897,0.6077511839870751,2.1899999999999977,0.0
2000-01-29,0.0,0.0,0.0,0.0,0.0
2000-01-30,0.0,0.0,0.0,0.0,0.0
2000-01-31,0.0,0.0,0.0,0.0,0.0
2000-02-01,72.19999999999982,1.146031746031743,1.2734923107969118,4.240000000000009,0.0
2000-02-02,0.6200000000000045,0.009841269841269913,0.07749023622043427,0.6200000000000045,0.0
2000-02-03,0.0,0.0,0.0,0.0,0.0
2000-02-04,82.95999999999964,1.3168253968253911,1.0805536872830646,3.759999999999991,0.0
2000-02-05,0.0,0.0,0.0,0.0,0.0
