Fecha,PET_Suma,PET_Promedio,PET_Desviacion,PET_Maximo,PET_Minimo
2000-01-02,419.91900000000004,6.665380952380953,0.8687438007739796,9.483,4.609
2000-01-03,424.754,6.742126984126984,0.8829524334572318,9.577,4.607
2000-01-04,392.01700000000005,6.222492063492064,0.8110688200697849,8.989,4.249
2000-01-05,426.918,6.776476190476191,0.8120160264495304,9.394,4.625
2000-01-06,384.145,6.097539682539682,0.8246669135272531,8.788,3.902
2000-01-07,406.31600000000003,6.449460317460318,0.7793131861299986,9.099,4.551
2000-01-08,372.308,5.909650793650793,0.8064398767920163,8.66,3.997
2000-01-09,404.64099999999996,6.422873015873015,0.7468860326581247,9.032,4.631
2000-01-10,423.333,6.719571428571429,0.7730279716141968,9.364,4.795
2000-01-11,427.53100000000006,6.78620634920635,0.8052407735899562,9.506,4.7620000000000005
2000-01-12,427.527,6.786142857142857,0.8459079625935307,9.57,4.6450000000000005
2000-01-13,383.156,6.08184126984127,0.8187139199630385,8.857,4.116
2000-01-14,414.35400000000004,6.57704761904762,0.799224096522737,9.33,4.664
2000-01-15,393.439,6.245063492063492,0.8089795035961043,9.041,4.351
2000-01-16,363.262,5.766063492063492,0.7714554554724995,8.53,4.034
2000-01-17,391.71500000000003,6.217698412698414,0.7484949477604224,8.903,4.525
2000-01-18,437.684,6.947365079365079,0.7603949120507139,9.617,5.149
2000-01-19,428.914,6.80815873015873,0.8053131345296727,9.529,4.845
2000-01-20,442.86800000000005,7.029650793650794,0.767905276043576,9.627,5.025
2000-01-21,397.591,6.310968253968254,0.7849616099854307,8.953,4.267
2000-01-22,383.385,6.08547619047619,0.6759365015998258,8.538,4.3870000000000005
2000-01-23,396.567,6.294714285714286,0.7387382084267533,8.874,4.417
2000-01-24,393.216,6.24152380952381,0.6859524454141224,8.736,4.58
2000-01-25,430.42,6.832063492063492,0.7772591827946448,9.496,4.871
2000-01-26,436.81500000000005,6.93357142857143,0.7576132680633162,9.521,4.963
2000-01-27,453.67300000000006,7.201158730158731,0.7925639567873293,9.873,5.154
2000-01-28,401.46500000000003,6.372460317460318,0.8239077969949706,9.08,4.22
2000-01-29,356.65000000000003,5.661111111111111,0.7824555387969361,8.372,3.794
2000-01-30,352.962,5.602571428571428,0.7902169425711718,8.317,3.75
2000-01-31,372.248,5.908698412698413,0.7456851677233227,8.533,4.102
2000-02-01,388.96900000000005,6.174111111111112,0.7779908619676165,8.857,4.272
2000-02-02,335.523,5.325761904761905,0.7282546588059443,7.936,3.7520000000000002
2000-02-03,354.461,5.62636507936508,0.6968399033092476,8.152000000000001,4.105
2000-02-04,409.048,6.492825396825397,0.7720314686341163,9.135,4.634
2000-02-05,351.889,5.585539682539682,0.7324137919994478,8.183,3.865
2000-02-06,293.165,4.653412698412699,0.6525655020317308,6.994,3.279
2000-02-07,389.758,6.18663492063492,0.6963256696012496,8.706,4.5680000000000005
2000-02-08,387.66700000000003,6.153444444444445,0.7387160628528087,8.731,4.3950000000000005
2000-02-09,304.125,4.8273809523809526,0.6646822711205334,7.234,3.306
2000-02-10,325.56500000000005,5.167698412698414,0.6726377745204073,7.634,3.588
2000-02-11,293.887,4.664873015873016,0.6988387304497503,7.096,3.0460000000000003
2000-02-12,190.588,3.025206349206349,0.6402869931604743,5.404,1.7750000000000001
2000-02-13,317.338,5.037111111111112,0.6223174076854103,7.425,3.733
2000-02-14,365.384,5.799746031746032,0.6321319926526789,8.137,4.365
2000-02-15,395.39,6.276031746031745,0.712199877603792,8.771,4.545
2000-02-16,329.51800000000003,5.230444444444445,0.7593733794736702,7.872,3.5180000000000002
2000-02-17,360.707,5.725507936507936,0.6665696565850182,8.162,4.184
2000-02-18,339.771,5.393190476190476,0.647132523832144,7.76,3.923
2000-02-19,379.095,6.017380952380953,0.6206514352530191,8.328,4.609
2000-02-20,402.23699999999997,6.384714285714285,0.7644590665294598,8.986,4.511
2000-02-21,388.963,6.174015873015874,0.751344435039954,8.775,4.439
2000-02-22,390.343,6.195920634920635,0.7388801973812376,8.685,4.355
2000-02-23,363.789,5.7744285714285715,0.6579137472847129,8.11,4.216
2000-02-24,368.852,5.85479365079365,0.6597179329613518,8.194,4.273
2000-02-25,357.075,5.667857142857143,0.6416754818724815,7.963,4.152
2000-02-26,312.062,4.95336507936508,0.653656511457681,7.2490000000000006,3.41
2000-02-27,235.376,3.7361269841269844,0.6136747882875696,5.893,2.5140000000000002
2000-02-28,245.32000000000002,3.8939682539682545,0.5508378313555696,6.003,2.7920000000000003
2000-02-29,294.096,4.6681904761904764,0.5334954473003958,6.705,3.5660000000000003
2000-03-01,298.586,4.739460317460318,0.5620408341205706,6.835,3.488
2000-03-02,306.269,4.861412698412699,0.5868458502045,7.017,3.498
2000-03-03,292.307,4.639793650793651,0.5765190055576758,6.7490000000000006,3.277
2000-03-04,319.38300000000004,5.069571428571429,0.5013606475045814,6.9670000000000005,3.967
2000-03-05,319.759,5.075539682539683,0.551500602984224,7.093,3.732
2000-03-06,326.755,5.186587301587301,0.5312290222912003,7.111,3.867
2000-03-07,321.68100000000004,5.10604761904762,0.5789315947356993,7.123,3.629
2000-03-08,327.899,5.204746031746032,0.5769901093552442,7.26,3.864
2000-03-09,301.38800000000003,4.783936507936509,0.6215065125765836,6.894,3.285
2000-03-10,232.24699999999999,3.6864603174603174,0.5197783357033706,5.59,2.531
2000-03-11,294.19599999999997,4.669777777777777,0.5532125354214623,6.635,3.392
2000-03-12,256.172,4.066222222222223,0.5074890395077105,5.917,2.918
