Fecha,Tmin_Promedio,Tmin_Desviacion,Tmin_Maximo,Tmin_Minimo
2000-01-01,10.776296296296298,0.6158182669895915,11.680000000000001,8.881666666666668
2000-01-02,11.488783068783068,0.5759362599418473,12.288333333333334,9.703333333333333
2000-01-03,12.881084656084658,0.6192915078291694,13.73,11.041666666666668
2000-01-04,13.390502645502647,0.6899691756860458,14.510000000000002,11.228333333333333
2000-01-05,12.063492063492063,0.5907501071438337,13.096666666666668,10.680000000000001
2000-01-06,8.81674603174603,0.4454544504464229,9.518333333333334,7.911666666666667
2000-01-07,9.857142857142858,0.3841173749290028,10.56,9.058333333333334
2000-01-08,8.445714285714287,0.5300531331961786,9.38,7.466666666666667
2000-01-09,9.422460317460317,0.49555358540633154,10.32,8.445
2000-01-10,10.366296296296296,0.47542086102833253,11.206666666666667,9.293333333333335
2000-01-11,11.197539682539682,0.39668610253647435,11.858333333333334,10.215
2000-01-12,10.873968253968254,0.42282959953673316,11.528333333333334,9.615
2000-01-13,9.629894179894182,0.4899181871210196,10.386666666666667,8.448333333333334
2000-01-14,9.126455026455027,0.47264486148160334,9.865,7.436666666666667
2000-01-15,7.4136507936507945,0.43236265490501485,8.045,5.930000000000001
2000-01-16,8.21042328042328,0.430957259433023,8.911666666666667,6.783333333333334
2000-01-17,9.162010582010582,0.5789596549630811,10.180000000000001,7.923333333333334
2000-01-18,11.207142857142859,0.5529646273160123,12.058333333333334,9.998333333333335
2000-01-19,12.460820105820106,0.5729689128089688,13.420000000000002,11.125
2000-01-20,12.32666666666667,0.46237606185328833,12.995000000000001,11.276666666666667
2000-01-21,9.91457671957672,0.6804823069265155,11.173333333333334,8.553333333333335
2000-01-22,9.32415343915344,0.4093994691130434,10.020000000000001,8.373333333333333
2000-01-23,8.901931216931217,0.3279270854921882,9.4,8.193333333333333
2000-01-24,10.155634920634922,0.38275150560327287,10.83,9.393333333333334
2000-01-25,11.17378306878307,0.5490020773942255,12.17,9.905000000000001
2000-01-26,12.676005291005291,0.5291508904603711,13.711666666666668,11.146666666666667
2000-01-27,13.924973544973545,0.6358027943503072,14.871666666666668,12.088333333333335
2000-01-28,11.937962962962963,0.41284207070965356,12.615,10.771666666666667
2000-01-29,11.611798941798943,0.33258146707045944,12.125,10.581666666666667
2000-01-30,8.984761904761905,0.407164871461525,9.533333333333333,7.906666666666667
2000-01-31,9.200714285714286,0.3359034140233351,9.856666666666667,8.201666666666668
2000-02-01,9.17989417989418,0.4199775202911468,9.83,7.833333333333334
2000-02-02,11.753730158730159,0.4960331809503055,12.495000000000001,10.565000000000001
2000-02-03,9.773386243386243,0.3904314043514908,10.515,8.796666666666667
2000-02-04,8.635052910052911,0.41095427813478363,9.421666666666667,7.348333333333334
2000-02-05,10.420185185185186,0.4765951690108039,11.125,9.055
2000-02-06,8.895238095238097,0.2629886661982847,9.338333333333335,8.201666666666668
2000-02-07,9.560925925925927,0.37507045520126403,10.22,8.568333333333333
2000-02-08,9.564788359788361,0.27843184773434143,10.040000000000001,8.806666666666667
2000-02-09,11.61137566137566,0.33297315721961046,12.331666666666667,10.605
2000-02-10,11.838386243386244,0.47554887699786474,12.503333333333334,10.488333333333333
2000-02-11,12.871481481481483,0.28074150856367763,13.506666666666668,12.323333333333334
2000-02-12,9.327645502645503,0.46585015822950476,10.110000000000001,8.333333333333334
2000-02-13,8.347301587301587,0.2724842322787026,8.896666666666667,7.613333333333334
2000-02-14,10.242169312169311,0.40219477619687705,10.983333333333334,9.141666666666667
2000-02-15,10.801560846560847,0.2813033211090978,11.283333333333333,9.986666666666668
2000-02-16,9.180925925925926,0.36787616506089366,9.848333333333334,8.048333333333334
2000-02-17,9.868333333333334,0.3554990034391209,10.418333333333335,8.778333333333334
2000-02-18,10.119682539682541,0.40560717839994426,11.026666666666667,9.361666666666668
2000-02-19,11.030661375661376,0.5827837577191449,12.221666666666668,9.788333333333334
2000-02-20,12.227539682539684,0.4237023822717503,12.823333333333334,10.966666666666667
2000-02-21,13.433677248677249,0.5934142652379066,14.338333333333335,11.361666666666668
2000-02-22,11.152539682539683,0.5232661684011277,12.035,9.415000000000001
2000-02-23,11.335,0.566446346836836,12.146666666666668,9.978333333333333
2000-02-24,10.372857142857143,0.4547928602445324,11.066666666666668,9.246666666666668
2000-02-25,10.491693121693123,0.3370506338988186,11.201666666666668,9.478333333333333
2000-02-26,8.220079365079366,0.3687025524517417,9.023333333333333,7.243333333333334
2000-02-27,7.308227513227514,0.37876573348918097,8.011666666666667,6.3500000000000005
2000-02-28,7.563121693121693,0.2710394603574444,8.146666666666667,6.99
2000-02-29,8.265370370370372,0.23485134411171626,9.05,7.8100000000000005
2000-03-01,8.961772486772487,0.3256860718138461,9.67,7.953333333333334
2000-03-02,9.326931216931218,0.40356832176301677,10.030000000000001,8.15
2000-03-03,9.052804232804231,0.3852830363675448,9.725000000000001,8.175
2000-03-04,9.330026455026456,0.396463476932938,10.348333333333334,8.203333333333333
2000-03-05,9.877116402116403,0.504270930785954,10.99,8.586666666666668
2000-03-06,9.832592592592594,0.5313931954768508,11.136666666666667,8.671666666666667
2000-03-07,9.258968253968256,0.3987236502350214,10.001666666666667,8.243333333333334
2000-03-08,11.011957671957672,0.45398689852069807,11.761666666666667,9.921666666666667
2000-03-09,10.225317460317461,0.2583637731072609,10.768333333333334,9.458333333333334
2000-03-10,8.73611111111111,0.3995764953815173,9.505,7.843333333333334
2000-03-11,9.771296296296297,0.2521623319644859,10.280000000000001,8.945
2000-03-12,9.16925925925926,0.2883511138931182,9.786666666666667,8.333333333333334
